"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
276993,307323718,Madrid,2024-01-22,Late / Unresponsive,2024-01-22 09:04:55.71,2024-01-22 09:15:52.276
276993,308875307,Madrid,2024-02-05,Late / Unresponsive,2024-02-05 09:31:36.08,2024-02-05 09:48:14.719
280920,306137597,Madrid,2024-01-08,Late / Unresponsive,2024-01-08 08:37:25.046,2024-01-08 08:47:47.861
280920,306137598,Madrid,2024-01-08,Late / Unresponsive,2024-01-08 08:37:25.046,2024-01-08 08:47:47.877
280920,306692552,Madrid,2024-01-13,Late / Unresponsive,2024-01-13 09:35:07.657,2024-01-13 09:46:16.642
280920,308560647,Madrid,2024-01-29,Late / Unresponsive,2024-01-29 09:58:19.724,2024-01-29 10:07:14.396
280920,309281771,Madrid,2024-02-04,Refused delivery,2024-02-04 13:04:54.834,2024-02-04 13:11:35.925
280920,309282172,Madrid,2024-02-04,Refused delivery,2024-02-04 13:07:34.628,2024-02-04 13:11:35.942
280920,309374292,Madrid,2024-02-05,Equipment failure,2024-02-05 11:01:19.702,2024-02-05 11:18:31.193
280920,309394808,Madrid,2024-02-05,Refused delivery,2024-02-05 13:20:58.161,2024-02-05 13:22:04.186
280920,309839139,Madrid,2024-02-09,Refused delivery,2024-02-09 13:15:25.685,2024-02-09 13:16:41.356
359415,305346990,Madrid,2024-01-02,Late / Unresponsive,2024-01-02 08:35:37.93,2024-01-02 08:53:56.105
359415,305558098,Madrid,2024-01-03,Equipment failure,2024-01-03 07:36:25.658,2024-01-03 07:44:08.675
359415,306137378,Madrid,2024-01-08,Late / Unresponsive,2024-01-08 08:00:05.921,2024-01-08 08:38:46.39
359415,306137379,Madrid,2024-01-08,Late / Unresponsive,2024-01-08 08:00:05.921,2024-01-08 08:38:46.406
359415,306241198,Madrid,2024-01-09,Late / Unresponsive,2024-01-09 07:50:41.527,2024-01-09 08:12:10.615
359415,305573240,Madrid,2024-01-09,Equipment failure,2024-01-09 09:00:39.747,2024-01-09 09:05:47.396
359415,306959634,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 09:35:26.712,2024-01-16 09:46:47.958
359415,307052284,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 10:44:26.851,2024-01-16 10:58:40.998
359415,307054115,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 12:46:27.017,2024-01-16 13:05:08.877
359415,307072108,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:05:27.429,2024-01-16 13:31:51.894
359415,307123602,Madrid,2024-01-17,Refused delivery,2024-01-17 08:11:56.689,2024-01-17 08:18:47.744
359415,307262387,Madrid,2024-01-19,Late / Unresponsive,2024-01-19 08:20:12.522,2024-01-19 08:40:34.53
359415,307295051,Madrid,2024-01-19,Late / Unresponsive,2024-01-19 10:47:32.559,2024-01-19 11:19:46.319
359415,307766090,Madrid,2024-01-22,Refused delivery,2024-01-22 08:18:10.483,2024-01-22 08:35:42.982
359415,307743267,Madrid,2024-01-22,Equipment failure,2024-01-22 08:40:15.82,2024-01-22 08:44:37.651
359415,307766439,Madrid,2024-01-22,Refused delivery,2024-01-22 09:12:15.547,2024-01-22 09:17:58.431
359415,307986154,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 12:50:38.828,2024-01-24 13:16:48.903
359415,307986156,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 12:50:38.828,2024-01-24 13:16:48.917
359415,307861941,Madrid,2024-01-24,Late / Unresponsive,2024-01-24 13:16:58.921,2024-01-24 13:38:22.982
359415,308060619,Madrid,2024-01-25,Equipment failure,2024-01-25 07:34:00.849,2024-01-25 07:42:11.766
359415,308060620,Madrid,2024-01-25,Equipment failure,2024-01-25 07:34:00.849,2024-01-25 07:42:11.778
359415,308096332,Madrid,2024-01-26,Equipment failure,2024-01-26 07:33:43.82,2024-01-26 07:41:23.433
359415,308195294,Madrid,2024-01-26,Equipment failure,2024-01-26 12:59:42.407,2024-01-26 13:05:32.606
359415,308560516,Madrid,2024-01-29,Equipment failure,2024-01-29 07:55:10.749,2024-01-29 07:57:39.089
359415,308574934,Madrid,2024-01-29,Late / Unresponsive,2024-01-29 12:21:39.954,2024-01-29 12:49:16.833
359415,308784972,Madrid,2024-02-01,Refused delivery,2024-02-01 07:33:29.619,2024-02-01 07:40:14.084
359415,308870984,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 09:18:08.905,2024-02-01 09:32:45.51
359415,308865827,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:03:09.52,2024-02-01 11:18:52.882
359415,308865828,Madrid,2024-02-01,Late / Unresponsive,2024-02-01 11:03:09.52,2024-02-01 11:18:52.894
359415,310421211,Madrid,2024-02-15,Equipment failure,2024-02-15 09:22:54.052,2024-02-15 09:27:33.006
359415,310538111,Madrid,2024-02-15,Late / Unresponsive,2024-02-15 10:25:33.853,2024-02-15 10:37:57.396
359415,311007678,Madrid,2024-02-19,Equipment failure,2024-02-19 13:16:41.11,2024-02-19 13:26:58.149
359781,305197350,Madrid,2023-12-30,Late / Unresponsive,2023-12-30 20:12:10.806,2023-12-30 20:46:45.929
359781,305214539,Madrid,2023-12-30,Refused delivery,2023-12-30 22:53:10.718,2023-12-30 23:05:08.602
359781,306286502,Madrid,2024-01-09,Refused delivery,2024-01-09 15:48:59.713,2024-01-09 16:01:52.571
359781,307013293,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:15:47.234,2024-01-16 13:32:08.078
359781,307076381,Madrid,2024-01-16,Late / Unresponsive,2024-01-16 13:32:26.826,2024-01-16 13:46:37.043
359781,308094997,Madrid,2024-01-25,Late / Unresponsive,2024-01-25 14:14:40.659,2024-01-25 14:34:08.545
359781,310786566,Madrid,2024-02-17,Late / Unresponsive,2024-02-17 13:17:37.901,2024-02-17 13:25:26.23
359781,311350722,Madrid,2024-02-22,Late / Unresponsive,2024-02-22 21:50:18.977,2024-02-22 22:05:59.16
364173,308595230,Madrid,2024-01-29,Refused delivery,2024-01-29 14:41:39.957,2024-01-29 14:58:00.73
370425,307423644,Madrid,2024-01-19,Refused delivery,2024-01-19 16:49:05.213,2024-01-19 16:54:56.156
370425,307429445,Madrid,2024-01-19,Equipment failure,2024-01-19 16:55:11.809,2024-01-19 16:55:43.425
370425,309868345,Madrid,2024-02-09,Late / Unresponsive,2024-02-09 16:57:05.897,2024-02-09 17:21:04.992
377316,306166292,Madrid,2024-01-08,Refused delivery,2024-01-08 13:15:24.766,2024-01-08 13:21:11.786
377316,306242860,Madrid,2024-01-09,Equipment failure,2024-01-09 09:16:59.354,2024-01-09 09:19:48.226
377316,306572204,Madrid,2024-01-12,Late / Unresponsive,2024-01-12 11:30:25.597,2024-01-12 11:58:39.806
377316,307046521,Madrid,2024-01-18,Refused delivery,2024-01-18 10:06:49.723,2024-01-18 10:10:30.603
377316,307964729,Madrid,2024-01-24,Equipment failure,2024-01-24 09:17:58.369,2024-01-24 09:27:34.34
377316,307989477,Madrid,2024-01-24,Refused delivery,2024-01-24 13:16:19.461,2024-01-24 13:24:58.861
377316,308087880,Madrid,2024-01-25,Refused delivery,2024-01-25 13:20:20.53,2024-01-25 13:26:54.109
377316,309461099,Madrid,2024-02-06,Equipment failure,2024-02-06 07:33:17.609,2024-02-06 07:37:42.901
377316,309461100,Madrid,2024-02-06,Equipment failure,2024-02-06 07:33:17.609,2024-02-06 07:37:42.91
377316,309491177,Madrid,2024-02-06,Equipment failure,2024-02-06 13:09:00.586,2024-02-06 13:18:17.614
